Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
EDN1	4.05131413118239e-232	1.50845537308747	0.381	0.027	7.40701762604076e-228
COL4A1	7.93027888868206e-206	1.10516960340586	0.424	0.043	1.44989288921774e-201
JCAD	1.39514790794413e-174	0.442763171789811	0.287	0.019	2.55074892009425e-170
COL4A2	2.61882547855538e-141	1.17385214825152	0.484	0.091	4.7879986224428e-137
NECTIN2	1.51284813511261e-116	0.402890283570609	0.294	0.036	2.76594024542638e-112
IGFBP3	3.7559822589404e-76	1.35678412389799	0.252	0.043	6.86706236402074e-72
GFOD1	3.48005956554242e-54	0.317458190591212	0.234	0.048	6.36259290368121e-50
VCL	2.81139665983631e-44	0.395820932808856	0.358	0.12	5.14007651317872e-40
ARID5B	8.27051166354902e-27	0.355934708094989	0.303	0.123	1.51209764744667e-22
MORF4L1	1.01256539108558e-22	0.326478939601294	0.61	0.375	1.85127330452177e-18
RPL9	2.45780591303483e-09	-0.319355975557589	0.959	0.959	4.49360655080157e-05
APOC1	1.75284915528591e-06	-0.503024123798245	0.037	0.107	0.0320473411060924
APOE	9.49956927770306e-06	-0.958773515975542	0.11	0.188	0.173680625104245
