genes,variables,statistic,p.value,parameter,method,padj
ADAMTS7,Calc.bin,1.71752879646721,0.190011454117684,1,Kruskal-Wallis rank sum test,1
ADAMTS7,Collagen.bin,1.16800798294024,0.279810924712671,1,Kruskal-Wallis rank sum test,1
ADAMTS7,epmajor.3years,0.0894472085404139,0.764881095144518,1,Kruskal-Wallis rank sum test,1
ADAMTS7,Fat.bin_10,13.7981201640161,0.000203539782875329,1,Kruskal-Wallis rank sum test,0.0911858227281475
ADAMTS7,Fat.bin_40,2.52581817975936,0.111996676485353,1,Kruskal-Wallis rank sum test,1
ADAMTS7,IPH.bin,0.285681667378452,0.59300120274528,1,Kruskal-Wallis rank sum test,1
ADAMTS7,Macrophages.bin,4.33197232646397,0.0374028813641231,1,Kruskal-Wallis rank sum test,1
ADAMTS7,SMC.bin,0.169310508607744,0.680725308769163,1,Kruskal-Wallis rank sum test,1
ADAMTS9,Calc.bin,0.819512838815497,0.365322638807443,1,Kruskal-Wallis rank sum test,1
ADAMTS9,Collagen.bin,0.000458518841207242,0.982916161120084,1,Kruskal-Wallis rank sum test,1
ADAMTS9,epmajor.3years,2.41096634990389,0.120487967838496,1,Kruskal-Wallis rank sum test,1
ADAMTS9,Fat.bin_10,3.61244744864207,0.0573486638795227,1,Kruskal-Wallis rank sum test,1
ADAMTS9,Fat.bin_40,4.22136487669992,0.0399180387347647,1,Kruskal-Wallis rank sum test,1
ADAMTS9,IPH.bin,0.0119884037416969,0.912812608313385,1,Kruskal-Wallis rank sum test,1
ADAMTS9,Macrophages.bin,5.54873025378513,0.0184940984200188,1,Kruskal-Wallis rank sum test,1
ADAMTS9,SMC.bin,0.222202122512654,0.637367109934185,1,Kruskal-Wallis rank sum test,1
ADAMTS9-AS1,Calc.bin,0.376782280255581,0.539330356238119,1,Kruskal-Wallis rank sum test,1
ADAMTS9-AS1,Collagen.bin,2.54538293877385,0.11061708854524,1,Kruskal-Wallis rank sum test,1
ADAMTS9-AS1,epmajor.3years,0.479707410621834,0.488554877476905,1,Kruskal-Wallis rank sum test,1
ADAMTS9-AS1,Fat.bin_10,1.82222852269113,0.177048238438499,1,Kruskal-Wallis rank sum test,1
ADAMTS9-AS1,Fat.bin_40,0.598796724950052,0.43903749864492,1,Kruskal-Wallis rank sum test,1
ADAMTS9-AS1,IPH.bin,0.179572646425127,0.671740758921555,1,Kruskal-Wallis rank sum test,1
ADAMTS9-AS1,Macrophages.bin,0.0885027226066573,0.766089333453666,1,Kruskal-Wallis rank sum test,1
ADAMTS9-AS1,SMC.bin,1.4965298047033,0.221206081133896,1,Kruskal-Wallis rank sum test,1
ADAMTS9-AS2,Calc.bin,0.937196717210035,0.332999818502772,1,Kruskal-Wallis rank sum test,1
ADAMTS9-AS2,Collagen.bin,0.0136618367459463,0.906952088271778,1,Kruskal-Wallis rank sum test,1
ADAMTS9-AS2,epmajor.3years,0.95476930945229,0.328508274476735,1,Kruskal-Wallis rank sum test,1
ADAMTS9-AS2,Fat.bin_10,0.778254053365004,0.377675644734511,1,Kruskal-Wallis rank sum test,1
ADAMTS9-AS2,Fat.bin_40,0.295149455502528,0.586939378497447,1,Kruskal-Wallis rank sum test,1
ADAMTS9-AS2,IPH.bin,0.902233789043347,0.342183455558529,1,Kruskal-Wallis rank sum test,1
ADAMTS9-AS2,Macrophages.bin,1.997643275697,0.157543996835029,1,Kruskal-Wallis rank sum test,1
ADAMTS9-AS2,SMC.bin,0.906231590169134,0.341116269817673,1,Kruskal-Wallis rank sum test,1
ADK,Calc.bin,0.330869096523771,0.565147780151485,1,Kruskal-Wallis rank sum test,1
ADK,Collagen.bin,0.0772379167486351,0.781075993765469,1,Kruskal-Wallis rank sum test,1
ADK,epmajor.3years,0.603206969708058,0.437357031316028,1,Kruskal-Wallis rank sum test,1
ADK,Fat.bin_10,0.104300519982511,0.746728632783241,1,Kruskal-Wallis rank sum test,1
ADK,Fat.bin_40,0.436460892684246,0.508835596687959,1,Kruskal-Wallis rank sum test,1
ADK,IPH.bin,0.0834753810646992,0.772641784279693,1,Kruskal-Wallis rank sum test,1
ADK,Macrophages.bin,2.31092193135387,0.128467833497421,1,Kruskal-Wallis rank sum test,1
ADK,SMC.bin,0.00617528407202169,0.937364329070407,1,Kruskal-Wallis rank sum test,1
AP3M1,Calc.bin,0.666772446895388,0.414179147138621,1,Kruskal-Wallis rank sum test,1
AP3M1,Collagen.bin,2.5061550854172,0.113402310237712,1,Kruskal-Wallis rank sum test,1
AP3M1,epmajor.3years,0.00043159566672061,0.98342523573807,1,Kruskal-Wallis rank sum test,1
AP3M1,Fat.bin_10,0.837714235915415,0.360051319792907,1,Kruskal-Wallis rank sum test,1
AP3M1,Fat.bin_40,0.296745167180706,0.585930140410605,1,Kruskal-Wallis rank sum test,1
AP3M1,IPH.bin,1.66821804939569,0.196497382128449,1,Kruskal-Wallis rank sum test,1
AP3M1,Macrophages.bin,0.100198490284715,0.75159156786686,1,Kruskal-Wallis rank sum test,1
AP3M1,SMC.bin,3.58539723767697,0.058289479119468,1,Kruskal-Wallis rank sum test,1
APOC1,Calc.bin,0.379124690257264,0.538072059927439,1,Kruskal-Wallis rank sum test,1
APOC1,Collagen.bin,1.26499831275039,0.260707094399766,1,Kruskal-Wallis rank sum test,1
APOC1,epmajor.3years,2.14089506831405,0.143418192115441,1,Kruskal-Wallis rank sum test,1
APOC1,Fat.bin_10,8.6255982088843,0.0033147156822252,1,Kruskal-Wallis rank sum test,1
APOC1,Fat.bin_40,3.92516066662892,0.0475686447905503,1,Kruskal-Wallis rank sum test,1
APOC1,IPH.bin,0.185593302976241,0.666609864125974,1,Kruskal-Wallis rank sum test,1
APOC1,Macrophages.bin,4.0146312779787,0.0451070854974807,1,Kruskal-Wallis rank sum test,1
APOC1,SMC.bin,0.197715623452328,0.656571081723653,1,Kruskal-Wallis rank sum test,1
APOE,Calc.bin,0.0196768695550684,0.88844329644299,1,Kruskal-Wallis rank sum test,1
APOE,Collagen.bin,0.418224693639609,0.51782421944458,1,Kruskal-Wallis rank sum test,1
APOE,epmajor.3years,1.83243635076271,0.175840046747326,1,Kruskal-Wallis rank sum test,1
APOE,Fat.bin_10,7.16018868852649,0.00745393552235741,1,Kruskal-Wallis rank sum test,1
APOE,Fat.bin_40,3.49658250849817,0.0614956075576639,1,Kruskal-Wallis rank sum test,1
APOE,IPH.bin,0.581122984452097,0.445872483237535,1,Kruskal-Wallis rank sum test,1
APOE,Macrophages.bin,3.61120353023618,0.057391572114787,1,Kruskal-Wallis rank sum test,1
APOE,SMC.bin,0.418169730653702,0.517851728738705,1,Kruskal-Wallis rank sum test,1
ARID5B,Calc.bin,1.05401354528918,0.304584538786823,1,Kruskal-Wallis rank sum test,1
ARID5B,Collagen.bin,2.50118367870347,0.113760766545596,1,Kruskal-Wallis rank sum test,1
ARID5B,epmajor.3years,1.8370544447783,0.17529657706844,1,Kruskal-Wallis rank sum test,1
ARID5B,Fat.bin_10,0.287691199499785,0.591703876834823,1,Kruskal-Wallis rank sum test,1
ARID5B,Fat.bin_40,5.62632148628623,0.0176927217082306,1,Kruskal-Wallis rank sum test,1
ARID5B,IPH.bin,0.00784704290167781,0.929412892777912,1,Kruskal-Wallis rank sum test,1
ARID5B,Macrophages.bin,0.45439731648836,0.500254102217283,1,Kruskal-Wallis rank sum test,1
ARID5B,SMC.bin,8.73180952174982,0.00312706003696558,1,Kruskal-Wallis rank sum test,1
ATP2B1,Calc.bin,0.450988922618561,0.501865704547539,1,Kruskal-Wallis rank sum test,1
ATP2B1,Collagen.bin,0.346016927276552,0.556376557542636,1,Kruskal-Wallis rank sum test,1
ATP2B1,epmajor.3years,0.171047568321566,0.679182473846708,1,Kruskal-Wallis rank sum test,1
ATP2B1,Fat.bin_10,11.1190330231126,0.000854463227762494,1,Kruskal-Wallis rank sum test,0.381945062809835
ATP2B1,Fat.bin_40,0.659462172802224,0.416749880717264,1,Kruskal-Wallis rank sum test,1
ATP2B1,IPH.bin,0.138504943513021,0.709771847499439,1,Kruskal-Wallis rank sum test,1
ATP2B1,Macrophages.bin,0.160286483452132,0.688892895365631,1,Kruskal-Wallis rank sum test,1
ATP2B1,SMC.bin,0.449069734935455,0.502777053744068,1,Kruskal-Wallis rank sum test,1
BCAM,Calc.bin,0.0198050454840638,0.888082928361286,1,Kruskal-Wallis rank sum test,1
BCAM,Collagen.bin,2.38264982150912,0.122689280485495,1,Kruskal-Wallis rank sum test,1
BCAM,epmajor.3years,6.00782197312706,0.0142425969085604,1,Kruskal-Wallis rank sum test,1
BCAM,Fat.bin_10,2.29646792583445,0.129668568306994,1,Kruskal-Wallis rank sum test,1
BCAM,Fat.bin_40,0.529644201010803,0.466756483167141,1,Kruskal-Wallis rank sum test,1
BCAM,IPH.bin,0.415302986137118,0.519290116792657,1,Kruskal-Wallis rank sum test,1
BCAM,Macrophages.bin,0.432808470849603,0.510614082404892,1,Kruskal-Wallis rank sum test,1
BCAM,SMC.bin,0.239236763787879,0.624757908367155,1,Kruskal-Wallis rank sum test,1
BCAR1,Calc.bin,0.948237127816258,0.330168427524604,1,Kruskal-Wallis rank sum test,1
BCAR1,Collagen.bin,0.0711514282074847,0.789667620915557,1,Kruskal-Wallis rank sum test,1
BCAR1,epmajor.3years,0.175138652849296,0.675584728100598,1,Kruskal-Wallis rank sum test,1
BCAR1,Fat.bin_10,5.11034418199667,0.0237836015229441,1,Kruskal-Wallis rank sum test,1
BCAR1,Fat.bin_40,0.361158786118127,0.547863378677288,1,Kruskal-Wallis rank sum test,1
BCAR1,IPH.bin,3.77012512946203e-06,0.998450763676695,1,Kruskal-Wallis rank sum test,1
BCAR1,Macrophages.bin,1.4173899810799,0.233833477503,1,Kruskal-Wallis rank sum test,1
BCAR1,SMC.bin,0.121066008218073,0.727881181362651,1,Kruskal-Wallis rank sum test,1
CAMK2G,Calc.bin,0.295935537125199,0.586441765608732,1,Kruskal-Wallis rank sum test,1
CAMK2G,Collagen.bin,0.74237225004623,0.38890201996883,1,Kruskal-Wallis rank sum test,1
CAMK2G,epmajor.3years,0.101704301697955,0.749793912639532,1,Kruskal-Wallis rank sum test,1
CAMK2G,Fat.bin_10,9.80138893199566,0.00174380114417165,1,Kruskal-Wallis rank sum test,0.777735310300555
CAMK2G,Fat.bin_40,1.58011898515878,0.208743555477752,1,Kruskal-Wallis rank sum test,1
CAMK2G,IPH.bin,0.179122469519759,0.67212846339555,1,Kruskal-Wallis rank sum test,1
CAMK2G,Macrophages.bin,0.0732526513483203,0.786658489865181,1,Kruskal-Wallis rank sum test,1
CAMK2G,SMC.bin,0.15300127012714,0.695683579183469,1,Kruskal-Wallis rank sum test,1
CDKN2A,Calc.bin,0.850415249688787,0.356434892194669,1,Kruskal-Wallis rank sum test,1
CDKN2A,Collagen.bin,1.09901745074459,0.294481833932501,1,Kruskal-Wallis rank sum test,1
CDKN2A,epmajor.3years,0.811881090712898,0.36756468947188,1,Kruskal-Wallis rank sum test,1
CDKN2A,Fat.bin_10,0.851229236801502,0.35620482510588,1,Kruskal-Wallis rank sum test,1
CDKN2A,Fat.bin_40,0.145519957812396,0.70285394740807,1,Kruskal-Wallis rank sum test,1
CDKN2A,IPH.bin,0.0728450313711556,0.787238581963441,1,Kruskal-Wallis rank sum test,1
CDKN2A,Macrophages.bin,8.46285883401252,0.00362471690245424,1,Kruskal-Wallis rank sum test,1
CDKN2A,SMC.bin,0.0977995735347282,0.75448638359496,1,Kruskal-Wallis rank sum test,1
CDKN2B,Calc.bin,3.22094934759341,0.0727014547082299,1,Kruskal-Wallis rank sum test,1
CDKN2B,Collagen.bin,0.574786032088361,0.44836331786969,1,Kruskal-Wallis rank sum test,1
CDKN2B,epmajor.3years,1.29806890807375,0.25456626123822,1,Kruskal-Wallis rank sum test,1
CDKN2B,Fat.bin_10,0.986733752088145,0.320541986438405,1,Kruskal-Wallis rank sum test,1
CDKN2B,Fat.bin_40,0.0685626987831663,0.793441099005354,1,Kruskal-Wallis rank sum test,1
CDKN2B,IPH.bin,0.931158207517776,0.334562146327372,1,Kruskal-Wallis rank sum test,1
CDKN2B,Macrophages.bin,4.15072041903962,0.0416168141005018,1,Kruskal-Wallis rank sum test,1
CDKN2B,SMC.bin,2.09955329138502,0.14734218009715,1,Kruskal-Wallis rank sum test,1
CHRNA5,Calc.bin,0.722643684468547,0.395278099550849,1,Kruskal-Wallis rank sum test,1
CHRNA5,Collagen.bin,0.814282142428909,0.366857254886309,1,Kruskal-Wallis rank sum test,1
CHRNA5,epmajor.3years,0.0260702342498755,0.871728911926824,1,Kruskal-Wallis rank sum test,1
