genes,variables,statistic,p.value,parameter,method,padj
ADAMTS7,Plaque Vulnerability Index,13.9974549236554,0.0156255908449901,5,Kruskal-Wallis rank sum test,0.875033087319448
ADAMTS9,Plaque Vulnerability Index,6.78393448085853,0.23721166489583,5,Kruskal-Wallis rank sum test,1
ADAMTS9-AS1,Plaque Vulnerability Index,3.23861278091993,0.6632523381894,5,Kruskal-Wallis rank sum test,1
ADAMTS9-AS2,Plaque Vulnerability Index,1.83846139137345,0.871014865930915,5,Kruskal-Wallis rank sum test,1
ADK,Plaque Vulnerability Index,4.87590061887784,0.431212574938281,5,Kruskal-Wallis rank sum test,1
AP3M1,Plaque Vulnerability Index,2.65475487489575,0.753029300133796,5,Kruskal-Wallis rank sum test,1
APOC1,Plaque Vulnerability Index,6.83732325500123,0.233022642487845,5,Kruskal-Wallis rank sum test,1
APOE,Plaque Vulnerability Index,5.9630791610217,0.309828073340891,5,Kruskal-Wallis rank sum test,1
ARID5B,Plaque Vulnerability Index,4.99796822642911,0.416128198109727,5,Kruskal-Wallis rank sum test,1
ATP2B1,Plaque Vulnerability Index,8.22953604718358,0.144030920868503,5,Kruskal-Wallis rank sum test,1
BCAM,Plaque Vulnerability Index,5.01772437384268,0.41372091366214,5,Kruskal-Wallis rank sum test,1
BCAR1,Plaque Vulnerability Index,6.16556908363863,0.290440133204188,5,Kruskal-Wallis rank sum test,1
CAMK2G,Plaque Vulnerability Index,4.63062537871317,0.462598653887716,5,Kruskal-Wallis rank sum test,1
CDKN2A,Plaque Vulnerability Index,12.9614311244369,0.023742893447664,5,Kruskal-Wallis rank sum test,1
CDKN2B,Plaque Vulnerability Index,2.67111867802491,0.750532038983661,5,Kruskal-Wallis rank sum test,1
CHRNA5,Plaque Vulnerability Index,9.60441159440125,0.0872521544633767,5,Kruskal-Wallis rank sum test,1
CHRNB4,Plaque Vulnerability Index,0.878160275743622,0.971782562597917,5,Kruskal-Wallis rank sum test,1
COL4A1,Plaque Vulnerability Index,1.78390363259219,0.878164380299182,5,Kruskal-Wallis rank sum test,1
COL4A2,Plaque Vulnerability Index,3.00803475218209,0.698747037355815,5,Kruskal-Wallis rank sum test,1
COMT,Plaque Vulnerability Index,10.2472739801302,0.0685244663672003,5,Kruskal-Wallis rank sum test,1
COMTD1,Plaque Vulnerability Index,3.17093011543024,0.673652558970642,5,Kruskal-Wallis rank sum test,1
CTSH,Plaque Vulnerability Index,7.05231916956622,0.21677825643997,5,Kruskal-Wallis rank sum test,1
DUSP13,Plaque Vulnerability Index,4.39423111725623,0.494158417178073,5,Kruskal-Wallis rank sum test,1
EDN1,Plaque Vulnerability Index,4.46935354245264,0.4839942710145,5,Kruskal-Wallis rank sum test,1
