genes,plaque_phenotype,estimate,statistic,p.value,method,alternative,padj
ADAMTS7,MAC_rankNorm,-0.000417406822859383,37290214.6957341,0.99181176633242,Spearman's rank correlation rho,two.sided,1
ADAMTS7,MastCells_rankNorm,0.020012371282246,158463.999563661,0.844131664699019,Spearman's rank correlation rho,two.sided,1
ADAMTS7,Neutrophils_rankNorm,0.0676471981216658,174778.856240113,0.495041024485994,Spearman's rank correlation rho,two.sided,1
ADAMTS7,SMC_rankNorm,-0.114406469573858,41129867.6232796,0.00484046177794414,Spearman's rank correlation rho,two.sided,1
ADAMTS7,VesselDensity_rankNorm,0.00855936000889567,30440439.9154005,0.838566584803976,Spearman's rank correlation rho,two.sided,1
ADAMTS9,MAC_rankNorm,-0.0241715443248585,38175641.9996978,0.552256245642829,Spearman's rank correlation rho,two.sided,1
ADAMTS9,MastCells_rankNorm,-0.11583238826749,180430.097182853,0.253566929588334,Spearman's rank correlation rho,two.sided,1
ADAMTS9,Neutrophils_rankNorm,0.0206720316610077,183584.820944828,0.835003722321363,Spearman's rank correlation rho,two.sided,1
ADAMTS9,SMC_rankNorm,0.0653820490050992,34494337.2569082,0.108146698395511,Spearman's rank correlation rho,two.sided,1
ADAMTS9,VesselDensity_rankNorm,-0.0221815585788025,31384285.716619,0.597489533181594,Spearman's rank correlation rho,two.sided,1
ADAMTS9-AS1,MAC_rankNorm,-0.000342895584678481,37287437.3149628,0.993273408572819,Spearman's rank correlation rho,two.sided,1
ADAMTS9-AS1,MastCells_rankNorm,0.0409536403014505,155077.796363255,0.687332739016071,Spearman's rank correlation rho,two.sided,1
ADAMTS9-AS1,Neutrophils_rankNorm,0.16409345660557,156699.04062472,0.0960107004336709,Spearman's rank correlation rho,two.sided,1
ADAMTS9-AS1,SMC_rankNorm,-0.0421744771826789,38463971.1426616,0.300355900091675,Spearman's rank correlation rho,two.sided,1
ADAMTS9-AS1,VesselDensity_rankNorm,-0.0247014767703857,31461655.3696356,0.556521471049376,Spearman's rank correlation rho,two.sided,1
ADAMTS9-AS2,MAC_rankNorm,-0.0192480471714561,37992120.3369878,0.636007998328553,Spearman's rank correlation rho,two.sided,1
ADAMTS9-AS2,MastCells_rankNorm,-0.0456742743333546,169085.530159703,0.653492227134566,Spearman's rank correlation rho,two.sided,1
ADAMTS9-AS2,Neutrophils_rankNorm,0.06275857880754,175695.276816739,0.526796713367026,Spearman's rank correlation rho,two.sided,1
