genes,variables,statistic,p.value,parameter,method,padj
ADAMTS7,Calc.bin,1.89435239375826,0.168711830504025,1,Kruskal-Wallis rank sum test,1
ADAMTS7,Collagen.bin,1.31328050880376,0.251801559284055,1,Kruskal-Wallis rank sum test,1
ADAMTS7,epmajor.3years,0.642141627993684,0.422936345040262,1,Kruskal-Wallis rank sum test,1
ADAMTS7,Fat.bin_10,10.3675307300507,0.0012825096975108,1,Kruskal-Wallis rank sum test,0.420663180783541
ADAMTS7,Fat.bin_40,1.38453561977468,0.239330074608349,1,Kruskal-Wallis rank sum test,1
ADAMTS7,IPH.bin,0.57044258104505,0.45008310005873,1,Kruskal-Wallis rank sum test,1
ADAMTS7,Macrophages.bin,2.59733535389596,0.107043552712715,1,Kruskal-Wallis rank sum test,1
ADAMTS7,SMC.bin,0.807247939872239,0.36893515101809,1,Kruskal-Wallis rank sum test,1
ADK,Calc.bin,0.222421758623366,0.63720082304586,1,Kruskal-Wallis rank sum test,1
ADK,Collagen.bin,0.0394149670873102,0.842628826848925,1,Kruskal-Wallis rank sum test,1
ADK,epmajor.3years,0.0823780981489046,0.774100184053426,1,Kruskal-Wallis rank sum test,1
ADK,Fat.bin_10,0.0739437886297775,0.785678863786229,1,Kruskal-Wallis rank sum test,1
ADK,Fat.bin_40,0.710066704394188,0.399421668543825,1,Kruskal-Wallis rank sum test,1
ADK,IPH.bin,0.00665163416665541,0.934998557980598,1,Kruskal-Wallis rank sum test,1
ADK,Macrophages.bin,1.26922601910715,0.259911928405076,1,Kruskal-Wallis rank sum test,1
ADK,SMC.bin,0.0462331883524805,0.829752472527915,1,Kruskal-Wallis rank sum test,1
AP3M1,Calc.bin,0.6264386336001,0.428664663632571,1,Kruskal-Wallis rank sum test,1
AP3M1,Collagen.bin,2.13865773470059,0.143627511829744,1,Kruskal-Wallis rank sum test,1
AP3M1,epmajor.3years,0.0278876531804222,0.867373221795551,1,Kruskal-Wallis rank sum test,1
AP3M1,Fat.bin_10,0.803956859937523,0.369912960354141,1,Kruskal-Wallis rank sum test,1
AP3M1,Fat.bin_40,0.378401992103439,0.538459706270554,1,Kruskal-Wallis rank sum test,1
AP3M1,IPH.bin,1.24303935207827,0.264886099584937,1,Kruskal-Wallis rank sum test,1
AP3M1,Macrophages.bin,0.0881463250968632,0.766547079795426,1,Kruskal-Wallis rank sum test,1
AP3M1,SMC.bin,2.57089849599225,0.108845893832571,1,Kruskal-Wallis rank sum test,1
APOC1,Calc.bin,0.957274943882887,0.327874409996468,1,Kruskal-Wallis rank sum test,1
APOC1,Collagen.bin,0.859754858577495,0.353807301747414,1,Kruskal-Wallis rank sum test,1
APOC1,epmajor.3years,3.04517863878468,0.0809772063916435,1,Kruskal-Wallis rank sum test,1
APOC1,Fat.bin_10,10.1833568234677,0.00141713951929912,1,Kruskal-Wallis rank sum test,0.463404622810813
APOC1,Fat.bin_40,4.9742562383967,0.0257272632622147,1,Kruskal-Wallis rank sum test,1
APOC1,IPH.bin,0.261552976443853,0.609055241135433,1,Kruskal-Wallis rank sum test,1
APOC1,Macrophages.bin,3.79325957818296,0.05145934484047,1,Kruskal-Wallis rank sum test,1
