genes,plaque_phenotype,estimate,statistic,p.value,method,alternative,padj
ADAMTS7,MAC_rankNorm,-0.0119242599606788,44004619.3225909,0.763530922667582,Spearman's rank correlation rho,two.sided,1
ADAMTS7,MastCells_rankNorm,0.0175321671628831,178911.32223097,0.860471467938446,Spearman's rank correlation rho,two.sided,1
ADAMTS7,Neutrophils_rankNorm,0.0546071790110167,198470.096481501,0.574586181533601,Spearman's rank correlation rho,two.sided,1
ADAMTS7,SMC_rankNorm,-0.092703202093528,47072600.5803024,0.0192750309765108,Spearman's rank correlation rho,two.sided,1
ADAMTS7,VesselDensity_rankNorm,0.0204949281752695,35086067.5737762,0.61664740824605,Spearman's rank correlation rho,two.sided,1
ADK,MAC_rankNorm,0.0532621423137832,41169918.2183714,0.178721224797859,Spearman's rank correlation rho,two.sided,1
ADK,MastCells_rankNorm,-0.0605947240460737,193138.541627686,0.543172111267622,Spearman's rank correlation rho,two.sided,1
ADK,Neutrophils_rankNorm,0.0446017989721857,200570.565934573,0.646700896531432,Spearman's rank correlation rho,two.sided,1
ADK,SMC_rankNorm,-0.0331242128260016,44505995.156803,0.403940510343868,Spearman's rank correlation rho,two.sided,1
ADK,VesselDensity_rankNorm,0.100178265846851,32231794.4817126,0.0141724603960865,Spearman's rank correlation rho,two.sided,1
AP3M1,MAC_rankNorm,-0.0136795799457578,44080951.3078876,0.729990879806364,Spearman's rank correlation rho,two.sided,1
AP3M1,MastCells_rankNorm,0.105772215416834,162842.456483733,0.287620491495555,Spearman's rank correlation rho,two.sided,1
AP3M1,Neutrophils_rankNorm,0.0505292966986965,199326.182626856,0.60352543662198,Spearman's rank correlation rho,two.sided,1
AP3M1,SMC_rankNorm,-0.0563508155013316,45506574.8096112,0.155443026964867,Spearman's rank correlation rho,two.sided,1
AP3M1,VesselDensity_rankNorm,-0.0433765404862768,37373956.3555265,0.289190325895799,Spearman's rank correlation rho,two.sided,1
APOC1,MAC_rankNorm,0.0357540229784469,41931277.6964374,0.366884157430501,Spearman's rank correlation rho,two.sided,1
APOC1,MastCells_rankNorm,0.0524519308480346,172552.29358485,0.598752912557295,Spearman's rank correlation rho,two.sided,1
APOC1,Neutrophils_rankNorm,0.0431453975140024,200876.314118295,0.657498671636586,Spearman's rank correlation rho,two.sided,1
APOC1,SMC_rankNorm,-0.0862971023876857,46796631.9804548,0.0294189519383139,Spearman's rank correlation rho,two.sided,1
APOC1,VesselDensity_rankNorm,0.0428891133062364,34283903.3835479,0.294648629614896,Spearman's rank correlation rho,two.sided,1
APOE,MAC_rankNorm,0.0393885194086651,41773227.6939132,0.320165904457415,Spearman's rank correlation rho,two.sided,1
APOE,MastCells_rankNorm,0.0294895345236198,176733.837805111,0.767460838985818,Spearman's rank correlation rho,two.sided,1
APOE,Neutrophils_rankNorm,0.063638362593905,196574.143987211,0.512907344388012,Spearman's rank correlation rho,two.sided,1
