gene_ensembl symbol
ENSG00000035403 VCL
ENSG00000078401 EDN1
ENSG00000099810 MTAP
ENSG00000103811 CTSH
ENSG00000107562 CXCL12
ENSG00000112137 PHACTR1
ENSG00000117971 CHRNB4
ENSG00000118972 FGF23
ENSG00000130203 APOE
ENSG00000130204 TOMM40
ENSG00000130208 APOC1
ENSG00000134871 COL4A2
ENSG00000136378 ADAMTS7
ENSG00000145979 TBC1D7
ENSG00000145990 GFOD1
ENSG00000146674 IGFBP3
ENSG00000147883 CDKN2B
ENSG00000147889 CDKN2A
ENSG00000148660 CAMK2G
ENSG00000150347 ARID5B
ENSG00000154269 ENPP3
ENSG00000156110 ADK
ENSG00000156650 KAT6B
ENSG00000156671 SAMD8
ENSG00000165637 VDAC2
ENSG00000165644 COMTD1
ENSG00000169684 CHRNA5
ENSG00000182010 RTKN2
ENSG00000185009 AP3M1
ENSG00000185787 MORF4L1
ENSG00000187244 BCAM
ENSG00000187498 COL4A1
ENSG00000197594 ENPP1
ENSG00000198298 ZNF485
ENSG00000169740 ZNF32
ENSG00000079393 DUSP13
